"scenarioCode","localFileName","localRelativePath","targetKind","targetCode","assetType","assetKey","s3ObjectKey","contentType","importToYaml","status","notes"
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","1. 서월채 대문.png","images/1. 서월채 대문.png","SCENARIO","SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","SCENARIO_COVER","official/seowolchae/v1/scenario/SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION.cover.png","official/seowolchae/v1/scenario/SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION.cover.png","image/png","TRUE","READY","Scenario cover image."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","서월채 전체맵.png","images/서월채 전체맵.png","SCENARIO","SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","SCENARIO_MAP","official/seowolchae/v1/scenario/SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION.map.png","official/seowolchae/v1/scenario/SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION.map.png","image/png","TRUE","READY","Overall reference map for MVP."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","3. 피해자.png","images/3. 피해자.png","VICTIM","VICTIM_CHA_MINHYUK","VICTIM_PORTRAIT","official/seowolchae/v1/victims/VICTIM_CHA_MINHYUK.png","official/seowolchae/v1/victims/VICTIM_CHA_MINHYUK.png","image/png","TRUE","READY","Victim portrait."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","배우자.png","images/배우자.png","CHARACTER","SUSPECT_SPOUSE","CHARACTER_PORTRAIT","official/seowolchae/v1/characters/SUSPECT_SPOUSE.png","official/seowolchae/v1/characters/SUSPECT_SPOUSE.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","비서.png","images/비서.png","CHARACTER","SUSPECT_SECRETARY","CHARACTER_PORTRAIT","official/seowolchae/v1/characters/SUSPECT_SECRETARY.png","official/seowolchae/v1/characters/SUSPECT_SECRETARY.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","예비병원장.png","images/예비병원장.png","CHARACTER","SUSPECT_DOCTOR","CHARACTER_PORTRAIT","official/seowolchae/v1/characters/SUSPECT_DOCTOR.png","official/seowolchae/v1/characters/SUSPECT_DOCTOR.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","보안팀장.png","images/보안팀장.png","CHARACTER","SUSPECT_SECURITY","CHARACTER_PORTRAIT","official/seowolchae/v1/characters/SUSPECT_SECURITY.png","official/seowolchae/v1/characters/SUSPECT_SECURITY.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","케어매니저.png","images/케어매니저.png","CHARACTER","WITNESS_CARE_MANAGER","CHARACTER_PORTRAIT","official/seowolchae/v1/characters/WITNESS_CARE_MANAGER.png","official/seowolchae/v1/characters/WITNESS_CARE_MANAGER.png","image/png","TRUE","READY","Witness portrait."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","별장 로비.png","images/별장 로비.png","LOCATION","LOC_ENTRANCE_HALL","LOCATION_IMAGE","official/seowolchae/v1/locations/LOC_ENTRANCE_HALL.png","official/seowolchae/v1/locations/LOC_ENTRANCE_HALL.png","image/png","TRUE","READY","Location image."
"SCENARIO_SEOWOLCHAE_LAST_PRESCRIPTION","다이닝룸.png","images/다이닝룸.png","LOCATION","LOC_DINING_ROOM","LOCATION_IMAGE","official/seowolchae/v1/locations/LOC_DINING_ROOM.png","official/seowolchae/v1/locations/LOC_DINING_ROOM.png","image/png","TRUE","READY","Location image."
