"scenarioCode","localFileName","localRelativePath","targetKind","targetCode","assetType","assetKey","s3ObjectKey","contentType","importToYaml","status","notes"
"SCENARIO_STUDIO9","스튜디오9 커버.png","images/스튜디오9 커버.png","SCENARIO","SCENARIO_STUDIO9","SCENARIO_COVER","official/studio9/v1/scenario/SCENARIO_STUDIO9.cover.png","official/studio9/v1/scenario/SCENARIO_STUDIO9.cover.png","image/png","TRUE","READY","Scenario cover image."
"SCENARIO_STUDIO9","스튜디오9 전체 층면도.png","images/스튜디오9 전체 층면도.png","SCENARIO","SCENARIO_STUDIO9","SCENARIO_MAP","official/studio9/v1/scenario/SCENARIO_STUDIO9.map.png","official/studio9/v1/scenario/SCENARIO_STUDIO9.map.png","image/png","TRUE","READY","Overall reference map."
"SCENARIO_STUDIO9","피해자 백도윤.png","images/피해자 백도윤.png","VICTIM","VICTIM_BAEK_DOYOON","VICTIM_PORTRAIT","official/studio9/v1/victims/VICTIM_BAEK_DOYOON.png","official/studio9/v1/victims/VICTIM_BAEK_DOYOON.png","image/png","TRUE","READY","Victim portrait."
"SCENARIO_STUDIO9","주연배우 서이라.png","images/주연배우 서이라.png","CHARACTER","SUSPECT_ACTOR","CHARACTER_PORTRAIT","official/studio9/v1/characters/SUSPECT_ACTOR.png","official/studio9/v1/characters/SUSPECT_ACTOR.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_STUDIO9","메인 작가 윤채린.png","images/메인 작가 윤채린.png","CHARACTER","SUSPECT_WRITER","CHARACTER_PORTRAIT","official/studio9/v1/characters/SUSPECT_WRITER.png","official/studio9/v1/characters/SUSPECT_WRITER.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_STUDIO9","조명감독·촬영감독 류현규.png","images/조명감독·촬영감독 류현규.png","CHARACTER","SUSPECT_LIGHTING_DP","CHARACTER_PORTRAIT","official/studio9/v1/characters/SUSPECT_LIGHTING_DP.png","official/studio9/v1/characters/SUSPECT_LIGHTING_DP.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_STUDIO9","액션감독 남기준.png","images/액션감독 남기준.png","CHARACTER","SUSPECT_STUNT_COORDINATOR","CHARACTER_PORTRAIT","official/studio9/v1/characters/SUSPECT_STUNT_COORDINATOR.png","official/studio9/v1/characters/SUSPECT_STUNT_COORDINATOR.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_STUDIO9","제작총괄 강태오.png","images/제작총괄 강태오.png","CHARACTER","RED_HERRING_PRODUCER","CHARACTER_PORTRAIT","official/studio9/v1/characters/RED_HERRING_PRODUCER.png","official/studio9/v1/characters/RED_HERRING_PRODUCER.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_STUDIO9","조연배우 민루아.png","images/조연배우 민루아.png","CHARACTER","RED_HERRING_SUPPORTING_ACTOR","CHARACTER_PORTRAIT","official/studio9/v1/characters/RED_HERRING_SUPPORTING_ACTOR.png","official/studio9/v1/characters/RED_HERRING_SUPPORTING_ACTOR.png","image/png","TRUE","READY","Character portrait."
"SCENARIO_STUDIO9","스크립터 고은별.png","images/스크립터 고은별.png","CHARACTER","WITNESS_SCRIPT_SUPERVISOR","CHARACTER_PORTRAIT","official/studio9/v1/characters/WITNESS_SCRIPT_SUPERVISOR.png","official/studio9/v1/characters/WITNESS_SCRIPT_SUPERVISOR.png","image/png","TRUE","READY","Witness portrait."
